name,description,action_name,action_functionName,param_name,param_type,param_actionControl,param_possibleEnumValues,param_defaultEnumValue,param_minNumberValue,param_maxNumberValue,param_defaultNumberValue,param_numberUnit
LED,LED lamp,On,on,Brightness,DOUBLE,SLIDER,,,0,100,100,PERCENT
,,Off,off,,,,,,,,,
Buzzer,A kind of speaker that can control frequency of sound,Beep,beep,,,,,,,,,
Piezo,A kind of speaker that can control frequency of sound,Play,play,Tone Frequency,INTEGER,SPINBOX,,,0,10000,2000,HERTZ
,,,,Duration,INTEGER,SPINBOX,,,0,1000,2,SECOND
,,Beep,beep,Tone Frequency,INTEGER,SPINBOX,,,0,10000,2000,HERTZ
7 Segment,A screen that can display number and some alphabet,Show Value,showValue,Value,VALUE,DROPDOWN,,,,,,
,,Show Data,showData,Data,INTEGER,SPINBOX,,,-999,9999,1000,NUMBER
,,Off,off,,,,,,,,,
,,Set Brightness,setBrightness,Brightness,INTEGER,SPINBOX,,,0,100,100,PERCENT
DC Motor,A motor. It can drive a wheel.,On,on,Direction,ENUM,DROPDOWN,Forward,Forward,,,,
,,,,,,,Backward,,,,,
,,,,Speed,DOUBLE,SLIDER,,,0,100,100,PERCENT
,,Off,off,,,,,,,,,
RGB LED,This is a color LED,On,on,Color,ENUM,DROPDOWN,Red,Red,,,,
,,,,,,,Green,,,,,
,,,,,,,Blue,,,,,
,,,,,,,Cyan,,,,,
,,,,,,,Magenta,,,,,
,,,,,,,Yellow,,,,,
,,,,,,,White,,,,,
,,Off,off,,,,,,,,,
Relay Module,This is a relay module. It can act as a digital switch for high voltage.,On,on,,,,,,,,,
,,Off,off,,,,,,,,,
