id,name,variant,image,gpio,pwm,analog,i2c,spi,uart,display_type,width,height,pin_name,location_x,location_y
MCU_1,Arduino UNO,Arduino UNO,https://cdn.sparkfun.com//assets/parts/6/3/4/3/11021-01c.jpg,2,3,A0,A4,10,0,standalone,212.174,151.197,0,197.974,7.201
,,Sparkfun RedBoard,https://cdn.sparkfun.com//assets/parts/9/5/1/8/12757-01.jpg,3,5,A1,A5,11,1,,,,1,190.772,7.201
,,,,4,6,A2,,12,,,,,2,183.57,7.201
,,,,5,9,A3,,13,,,,,3,176.368,7.201
,,,,6,10,A4,,,,,,,4,169.166,7.201
,,,,7,11,A5,,,,,,,5,161.964,7.201
,,,,8,,,,,,,,,6,154.762,7.201
,,,,9,,,,,,,,,7,147.56,7.201
,,,,10,,,,,,,,,8,135.993,7.2
,,,,11,,,,,,,,,9,128.792,7.2
,,,,12,,,,,,,,,10,121.591,7.2
,,,,13,,,,,,,,,11,114.39,7.2
,,,,A0,,,,,,,,,12,107.189,7.2
,,,,A1,,,,,,,,,13,99.988,7.2
,,,,A2,,,,,,,,,A0,161.973,144.001
,,,,A3,,,,,,,,,A1,169.174,144.001
,,,,A4,,,,,,,,,A2,176.375,144.001
,,,,A5,,,,,,,,,A3,183.576,144.001
,,,,,,,,,,,,,A4,190.777,144.001
,,,,,,,,,,,,,A5,197.978,144.001
,,,,,,,,,,,,,GND,140.372,144.001
,,,,,,,,,,,,,5V,125.973,144.004
